x1-coordinate,y1-coordinate,x2-coordinate,y2-coordinate,zone-id
-74.5,40.0,-74.495,40.005,Zone_0_0
-74.495,40.0,-74.49,40.005,Zone_0_1
-74.49,40.0,-74.485,40.005,Zone_0_2
-74.485,40.0,-74.48,40.005,Zone_0_3
-74.48,40.0,-74.475,40.005,Zone_0_4
-74.475,40.0,-74.47,40.005,Zone_0_5
-74.47,40.0,-74.465,40.005,Zone_0_6
-74.465,40.0,-74.46,40.005,Zone_0_7
-74.46,40.0,-74.455,40.005,Zone_0_8
-74.455,40.0,-74.45,40.005,Zone_0_9
-74.45,40.0,-74.445,40.005,Zone_0_10
-74.445,40.0,-74.44,40.005,Zone_0_11
-74.44,40.0,-74.435,40.005,Zone_0_12
-74.435,40.0,-74.43,40.005,Zone_0_13
-74.43,40.0,-74.425,40.005,Zone_0_14
-74.425,40.0,-74.42,40.005,Zone_0_15
-74.42,40.0,-74.415,40.005,Zone_0_16
-74.415,40.0,-74.41,40.005,Zone_0_17
-74.41,40.0,-74.405,40.005,Zone_0_18
-74.405,40.0,-74.4,40.005,Zone_0_19
-74.4,40.0,-74.395,40.005,Zone_0_20
-74.395,40.0,-74.39,40.005,Zone_0_21
-74.39,40.0,-74.385,40.005,Zone_0_22
-74.385,40.0,-74.38,40.005,Zone_0_23
-74.38,40.0,-74.375,40.005,Zone_0_24
-74.375,40.0,-74.37,40.005,Zone_0_25
-74.37,40.0,-74.365,40.005,Zone_0_26
-74.365,40.0,-74.36,40.005,Zone_0_27
-74.36,40.0,-74.355,40.005,Zone_0_28
-74.355,40.0,-74.35,40.005,Zone_0_29
-74.35,40.0,-74.345,40.005,Zone_0_30
-74.345,40.0,-74.34,40.005,Zone_0_31
-74.34,40.0,-74.335,40.005,Zone_0_32
-74.335,40.0,-74.33,40.005,Zone_0_33
-74.33,40.0,-74.325,40.005,Zone_0_34
-74.325,40.0,-74.32,40.005,Zone_0_35
-74.32,40.0,-74.315,40.005,Zone_0_36
-74.315,40.0,-74.31,40.005,Zone_0_37
-74.31,40.0,-74.305,40.005,Zone_0_38
-74.305,40.0,-74.3,40.005,Zone_0_39
-74.3,40.0,-74.295,40.005,Zone_0_40
-74.295,40.0,-74.29,40.005,Zone_0_41
-74.29,40.0,-74.285,40.005,Zone_0_42
-74.285,40.0,-74.28,40.005,Zone_0_43
-74.28,40.0,-74.275,40.005,Zone_0_44
-74.275,40.0,-74.27,40.005,Zone_0_45
-74.27,40.0,-74.265,40.005,Zone_0_46
-74.265,40.0,-74.26,40.005,Zone_0_47
-74.26,40.0,-74.255,40.005,Zone_0_48
-74.255,40.0,-74.25,40.005,Zone_0_49
-74.25,40.0,-74.245,40.005,Zone_0_50
-74.245,40.0,-74.24,40.005,Zone_0_51
-74.24,40.0,-74.235,40.005,Zone_0_52
-74.235,40.0,-74.23,40.005,Zone_0_53
-74.23,40.0,-74.225,40.005,Zone_0_54
-74.225,40.0,-74.22,40.005,Zone_0_55
-74.22,40.0,-74.215,40.005,Zone_0_56
-74.215,40.0,-74.21,40.005,Zone_0_57
